attribute,value
dataset_name,NR-AR
train_samples,5812
val_samples,727
test_samples,726
train_positive,245
train_negative,5567
val_positive,33
val_negative,694
test_positive,31
test_negative,695
input_features,74
best_epoch,12
best_val_auc,0.7116
test_accuracy,0.6281
test_auc,0.6744
test_precision,0.0655
test_recall,0.5806
test_f1,0.1176
