attribute,value
dataset_name,SR-HSE
train_samples,5174
val_samples,647
test_samples,646
train_positive,264
train_negative,4910
val_positive,60
val_negative,587
test_positive,48
test_negative,598
input_features,74
best_epoch,37
best_val_auc,0.7865
test_accuracy,0.4458
test_auc,0.7538
test_precision,0.1106
test_recall,0.9167
test_f1,0.1973
