epoch,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1,0.6837707916159689,0.6569385388480866,0.5947394001110906,0.6919827574775332,0.8516228748068007,0.6829074389551391
2,0.6519365205808922,0.7156938538848087,0.6586465469357525,0.6964461661520458,0.9088098918083463,0.6695627484383871
3,0.6292989485793643,0.7510630073444143,0.7032698420045671,0.6867668940907433,0.40494590417310666,0.6509937535491198
4,0.6098742852976293,0.7489369926555857,0.7103391347281367,0.6911773028827849,0.9041731066460588,0.7495741056218057
5,0.5961333090140496,0.7611132586006958,0.7406653088934148,0.681880616006397,0.6568778979907264,0.7063600227143668
6,0.5769048479420168,0.7723231542327019,0.7497623896809233,0.6979267029535203,0.910355486862442,0.7384724588302101
7,0.5736495477181894,0.7783146501739466,0.7643985681663891,0.699575594493321,0.9072642967542504,0.7285065303804656
8,0.5577509694813211,0.8117510630073445,0.7727889896932667,0.6800834820384071,0.8547140649149922,0.7162691652470188
9,0.5492745923039354,0.812137611132586,0.7912292476701844,0.6864890711648124,0.9088098918083463,0.7500851788756389
10,0.5235533367520497,0.8223811364514882,0.8048177806579031,0.7005135473750886,0.9134466769706336,0.7038046564452016
11,0.5254935532072444,0.8103981445689988,0.8065543417885578,0.6918580305008661,0.9010819165378671,0.7229982964224871
12,0.544093550907241,0.8200618477000386,0.796756001974943,0.6916295318376451,0.8964451313755796,0.6881317433276547
13,0.5175324839390354,0.8328179358330112,0.8133501512065667,0.6673006273451305,0.5162287480680062,0.7427030096536059
14,0.5069603208958366,0.8272129880170082,0.8249421403443804,0.6914681082680112,0.8887171561051005,0.718938103350369
15,0.5163017265774585,0.8154232701971396,0.8188043880762822,0.7059224304698762,0.9026275115919629,0.7044293015332198
16,0.4946622076777764,0.8299188248936993,0.8297012898845894,0.7168220480283102,0.9072642967542504,0.7110732538330494
17,0.5133173685566879,0.8332044839582528,0.816490773313584,0.7115340743746076,0.9041731066460588,0.7128904031800114
18,0.47601830554597174,0.8554310011596443,0.8450024686786397,0.6657387443951198,0.8129829984544049,0.7431856899488927
19,0.4980710133174319,0.8291457286432161,0.8449446090230205,0.6892841344787961,0.910355486862442,0.7256956274843838
20,0.4815256749222308,0.833011209895632,0.8438877059803739,0.7063895705200377,0.8979907264296755,0.7254968767745599
21,0.46409104902435233,0.8382296095863935,0.8550623341356537,0.7112772578284854,0.9134466769706336,0.7520159000567859
22,0.48041258724751296,0.8432547352145342,0.8390822687156699,0.7006376328922453,0.9041731066460588,0.7411413969335605
23,0.4691761515022796,0.8413219945883262,0.8577285070665926,0.712299291576658,0.9057187017001546,0.7230266893810335
24,0.4620179275487676,0.845380749903363,0.8566824044929953,0.6704052204177493,0.8454404945904173,0.7278818852924475
25,0.4552349148341167,0.8388094317742559,0.8623410788125656,0.7192120608829317,0.9057187017001546,0.7309767177739921
26,0.44782018192388395,0.8469269424043293,0.868856076035302,0.6792864345368885,0.9026275115919629,0.7445485519591141
27,0.43884788232821004,0.8565906455353691,0.8761757082021847,0.7274769019512903,0.9072642967542504,0.732396365701306
28,0.44776824622610467,0.847313490529571,0.8655812195272481,0.6517988358225141,0.8114374034003091,0.7477285633162974
29,0.44721396092647386,0.8563973714727483,0.8688815342837747,0.7023069021247682,0.8964451313755796,0.7121521862578081
30,0.44426371847037915,0.8442211055276382,0.8697108560143184,0.6750174079622541,0.9072642967542504,0.7494037478705281
31,0.44193674550380235,0.8544646308465403,0.8692742084799111,0.6800056923003424,0.8856259659969088,0.7260079500283929
32,0.44011538572333475,0.8567839195979899,0.8714435598345986,0.6563921457245236,0.8809891808346213,0.7617546848381602
33,0.4507123071838308,0.8674139930421337,0.8645146732086652,0.7527497595264798,0.8825347758887172,0.6821408290743896
34,0.43004250793177407,0.8351372245844607,0.8803045732271803,0.6466110746065775,0.8098918083462133,0.7617830777967064
35,0.4331837101023138,0.8544646308465403,0.8747261309634018,0.6550105214118958,0.8253477588871716,0.7431856899488927
36,0.41574661682049435,0.8703131039814457,0.8890953835709436,0.6294850763820466,0.758887171561051,0.7425610448608745
37,0.4353403455497306,0.8500193274062621,0.879736005677961,0.5914758472215562,0.46367851622874806,0.7865417376490631
38,0.37833140744471255,0.8656745264785466,0.9075626427204839,0.6251780305589948,0.6630602782071098,0.7361158432708688
39,0.42746251439790667,0.8591032083494395,0.8854062519286553,0.6463487119901747,0.6970633693972179,0.7202441794434981
40,0.42995369728700616,0.8446076536528798,0.8815886718508918,0.6415222202028547,0.6955177743431221,0.7212947189097103
41,0.41938487472541536,0.8388094317742559,0.8859964204159723,0.6794381056513105,0.8315301391035549,0.7330777967064168
42,0.40506753730185235,0.8600695786625435,0.896000740603592,0.7954302784942445,0.8948995363214838,0.7060193072118115
43,0.40900814993146023,0.8670274449168921,0.8930113250632599,0.6834727582477388,0.8531684698608965,0.7287620670073821
44,0.4073565223334748,0.8550444530344028,0.8923347528235513,0.6471442168667203,0.7511591962905718,0.7229415105053947
45,0.4045499501588904,0.8600695786625435,0.8947339998765661,0.588883509238561,0.6723338485316847,0.7811186825667235
46,0.4027926965536159,0.8579435639737147,0.8970931309016849,0.7587453212056842,0.8500772797527048,0.724190800681431
47,0.3813851993117068,0.8627754155392346,0.9034445781645375,0.7455956723008837,0.8639876352395672,0.7101078932424758
48,0.38407139222563047,0.8788171627367607,0.9111167684996607,0.6961252802894229,0.8160741885625966,0.7209256104486087
49,0.3628689171631395,0.877657518361036,0.9125146577794236,0.6304080670788175,0.6939721792890263,0.7260931289040318
50,0.387413583787871,0.8600695786625435,0.9062889588347837,0.6313206070945376,0.7434312210200927,0.7395797842135151
51,0.39390550599789914,0.8647081561654426,0.9006001974942912,0.5563271471432277,0.5146831530139103,0.7783929585462807
52,0.37339564017307614,0.863355237727097,0.9122670184533728,0.6339288609368461,0.732612055641422,0.7372515616127201
53,0.38674961573179856,0.8693467336683417,0.9051934826883911,0.6453784760974702,0.8114374034003091,0.752328222600795
54,0.3660467792256379,0.8635485117897178,0.9104255384805283,0.7087458868821462,0.8639876352395672,0.7417660420215786
55,0.36362839320007667,0.8906068805566293,0.9173478676788248,0.728738797562463,0.7743431221020093,0.6996876774559909
56,0.35980208880371517,0.8600695786625435,0.922989569832747,0.691570656640189,0.80370942812983,0.7131743327654743
57,0.34909755966545625,0.8743718592964824,0.9232032648275011,0.9190434586434137,0.8454404945904173,0.690601930721181
58,0.3750274254492036,0.879590258987244,0.9149455347775104,0.6970628514176324,0.8686244204018547,0.7569278818852925
