attribute,value
dataset_name,NR-ER
train_samples,4955
val_samples,620
test_samples,618
train_positive,628
train_negative,4327
val_positive,74
val_negative,546
test_positive,91
test_negative,527
input_features,74
best_epoch,24
best_val_auc,0.7231
test_accuracy,0.5599
test_auc,0.6917
test_precision,0.2033
test_recall,0.6813
test_f1,0.3131
