attribute,value
dataset_name,NR-ER-LBD
train_samples,5564
val_samples,696
test_samples,695
train_positive,289
train_negative,5275
val_positive,31
val_negative,665
test_positive,30
test_negative,665
input_features,74
best_epoch,34
best_val_auc,0.7894
test_accuracy,0.6892
test_auc,0.8170
test_precision,0.0957
test_recall,0.7333
test_f1,0.1692
