attribute,value
dataset_name,SR-p53
train_samples,5420
val_samples,678
test_samples,676
train_positive,275
train_negative,5145
val_positive,73
val_negative,605
test_positive,75
test_negative,601
input_features,74
best_epoch,97
best_val_auc,0.7563
test_accuracy,0.7707
test_auc,0.7452
test_precision,0.2590
test_recall,0.5733
test_f1,0.3568
