Model,CV_ROC_AUC,Val_ROC_AUC,Val_Accuracy,Val_F1,Test_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
SVM,0.8440711180963426,0.9968836004532945,0.9694656488549618,0.875,0.7779779779779781,0.8715596330275229,0.8947368421052632,0.1717171717171717,0.288135593220339
XGBoost,0.8568480627409942,0.9469604986239274,0.9083969465648855,0.5081967213114754,0.7756392756392758,0.863914373088685,0.6666666666666666,0.20202020202020202,0.31007751937984496
RF,0.8662595690317503,0.9638983325238789,0.8809160305343512,0.20408163265306123,0.7704795704795705,0.8577981651376146,1.0,0.06060606060606061,0.11428571428571428
NN,0.7913323552648013,1.0,1.0,1.0,0.7533169533169534,0.8363914373088684,0.4444444444444444,0.32323232323232326,0.3742690058479532
KNN,0.7533384714084466,1.0,1.0,1.0,0.7440895440895441,0.8608562691131498,0.7,0.1414141414141414,0.23529411764705882
