Model,CV_ROC_AUC,Val_ROC_AUC,Val_Accuracy,Val_F1,Test_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
XGBoost,0.8117555698157128,0.9101825168107589,0.9724896836313618,0.5833333333333334,0.723300069621722,0.9669421487603306,0.8181818181818182,0.2903225806451613,0.42857142857142855
NN,0.7193357661044222,0.9999563356912059,0.9972489683631361,0.9696969696969697,0.7141332095613833,0.9586776859504132,0.5217391304347826,0.3870967741935484,0.4444444444444444
KNN,0.7383320453508153,0.9560737053532442,0.9724896836313618,0.5833333333333334,0.7047806915757716,0.9669421487603306,0.7692307692307693,0.3225806451612903,0.45454545454545453
RF,0.7953266230173346,0.9706575844904375,0.9711141678129298,0.5333333333333333,0.7004873520538408,0.9669421487603306,0.8888888888888888,0.25806451612903225,0.4
SVM,0.7918051729581215,0.9831892411143132,0.9546079779917469,0.0,0.69593873288466,0.9573002754820936,0.0,0.0,0.0
