Model,CV_ROC_AUC,Val_ROC_AUC,Val_Accuracy,Val_F1,Test_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
SVM,0.7554465427161856,1.0,0.9005145797598628,0.0,0.7485268514798447,0.9018932874354562,0.0,0.0,0.0
RF,0.7400926205542276,0.8528407224958949,0.9056603773584906,0.09836065573770492,0.7210057586714878,0.9036144578313253,1.0,0.017543859649122806,0.034482758620689655
XGBoost,0.7616315763467549,0.9343349753694582,0.9193825042881647,0.3188405797101449,0.7114302932904781,0.9139414802065404,1.0,0.12280701754385964,0.21875
KNN,0.5308049126933054,1.0,1.0,1.0,0.6709689299584841,0.9053356282271945,1.0,0.03508771929824561,0.06779661016949153
NN,0.6406904223100651,1.0,1.0,1.0,0.6616445694388643,0.9036144578313253,0.5263157894736842,0.17543859649122806,0.2631578947368421
