attribute,value
dataset_name,SR-ATAD5
train_samples,5658
val_samples,708
test_samples,706
train_positive,196
train_negative,5462
val_positive,32
val_negative,676
test_positive,36
test_negative,670
input_features,74
best_epoch,99
best_val_auc,0.7508
test_accuracy,0.9150
test_auc,0.7844
test_precision,0.2692
test_recall,0.3889
test_f1,0.3182
