attribute,value
dataset_name,NR-PPAR-gamma
train_samples,5160
val_samples,645
test_samples,645
train_positive,120
train_negative,5040
val_positive,25
val_negative,620
test_positive,41
test_negative,604
input_features,74
best_epoch,72
best_val_auc,0.8053
test_accuracy,0.7535
test_auc,0.7187
test_precision,0.1488
test_recall,0.6098
test_f1,0.2392
