Model,CV_ROC_AUC,Val_ROC_AUC,Val_Accuracy,Val_F1,Test_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
SVM,0.747334592421104,1.0,0.9612403100775194,0.0,0.8096026490066226,0.9364341085271318,0.0,0.0,0.0
RF,0.7427318143048618,0.9974838709677419,0.9612403100775194,0.0,0.8006380229365209,0.9364341085271318,0.0,0.0,0.0
XGBoost,0.7390185207749483,0.9703870967741937,0.9813953488372092,0.6842105263157895,0.7302939751251817,0.9395348837209302,0.6666666666666666,0.0975609756097561,0.1702127659574468
NN,0.7037985865724382,1.0,1.0,1.0,0.6891859150379583,0.9426356589147287,0.6666666666666666,0.1951219512195122,0.3018867924528302
KNN,0.6200286340928477,1.0,1.0,1.0,0.6582337263769988,0.9364341085271318,0.0,0.0,0.0
