attribute,value
dataset_name,NR-AR-LBD
train_samples,5407
val_samples,676
test_samples,675
train_positive,187
train_negative,5220
val_positive,27
val_negative,649
test_positive,23
test_negative,652
input_features,74
best_epoch,16
best_val_auc,0.7777
test_accuracy,0.9674
test_auc,0.7449
test_precision,0.5455
test_recall,0.2609
test_f1,0.3529
