attribute,value
dataset_name,NR-Aromatase
train_samples,4657
val_samples,583
test_samples,581
train_positive,185
train_negative,4472
val_positive,58
val_negative,525
test_positive,57
test_negative,524
input_features,74
best_epoch,27
best_val_auc,0.7261
test_accuracy,0.1256
test_auc,0.7686
test_precision,0.1009
test_recall,1.0000
test_f1,0.1833
