attribute,value
dataset_name,SR-ARE
train_samples,4666
val_samples,584
test_samples,582
train_positive,675
train_negative,3991
val_positive,130
val_negative,454
test_positive,137
test_negative,445
input_features,74
best_epoch,53
best_val_auc,0.7142
test_accuracy,0.2973
test_auc,0.7266
test_precision,0.2472
test_recall,0.9708
test_f1,0.3941
