attribute,value
dataset_name,SR-MMP
train_samples,4648
val_samples,581
test_samples,581
train_positive,677
train_negative,3971
val_positive,121
val_negative,460
test_positive,120
test_negative,461
input_features,74
best_epoch,73
best_val_auc,0.8148
test_accuracy,0.2840
test_auc,0.8459
test_precision,0.2228
test_recall,0.9917
test_f1,0.3639
